duration,weekday,hour,organization,max_participants,registered_count,attended_count,reward_ratio,tag_קהילה,tag_נגישות,tag_משפחות,tag_קשישים,tag_ילדים,tag_נוער,tag_חינוך,tag_פיזי,tag_גיוס,tag_אריזה,tag_מטבח,tag_בריאות,tag_עזרה ראשונה,tag_בעלי חיים,tag_סביבה,tag_טכנולוגיה,tag_אירועים,tag_תרומות,tag_צבא
90,3,20,גדולים מהחיים,18,15,9,0.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,0,19,נובה,10,4,2,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,6,12,לב אחד,26,12,12,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
90,1,9,לב אחד,11,4,4,0.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
90,4,17,גדולים מהחיים,7,0,0,0.75,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
90,0,14,גדולים מהחיים,7,3,2,0.75,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
60,0,20,גדולים מהחיים,13,10,8,0.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
60,0,14,יד שרה,11,6,2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
180,1,19,נובה,28,16,11,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
90,0,11,גדולים מהחיים,13,5,3,0.75,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
180,3,20,גדולים מהחיים,6,6,5,0.8,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
60,2,15,נובה,15,13,9,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6,14,לב אחד,21,16,16,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
180,6,14,לב אחד,6,2,2,0.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
60,0,17,יד שרה,22,10,7,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
90,5,18,לב אחד,9,2,2,0.55,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
150,5,14,לב אחד,18,15,13,0.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,5,9,נובה,30,17,12,0.5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
180,5,20,לתת,25,19,13,0.6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
90,3,15,לב אחד,9,4,3,0.75,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
180,0,18,יד שרה,29,23,16,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
60,2,12,לב אחד,24,9,9,0.7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
90,3,19,גדולים מהחיים,7,1,1,0.85,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
120,2,10,לתת,6,5,4,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,12,יד שרה,29,21,20,0.3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
150,4,17,נובה,30,23,17,0.45,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
60,3,16,נובה,21,12,8,0.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,4,20,נובה,24,17,15,0.55,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
90,1,13,לתת,11,4,4,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,4,17,לתת,17,12,12,0.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60,4,13,גדולים מהחיים,23,18,17,0.3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
60,3,12,יד שרה,14,4,3,0.7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
120,6,19,לב אחד,22,16,11,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
180,6,12,לב אחד,5,3,1,0.7,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
90,4,12,יד שרה,22,18,12,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
120,0,16,לב אחד,21,7,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,5,11,לב אחד,9,7,7,0.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
60,4,16,נובה,9,4,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
180,2,20,לתת,27,19,17,0.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4,15,גדולים מהחיים,7,4,3,0.5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,2,12,נובה,13,8,8,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
120,2,11,יד שרה,19,11,11,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
150,1,19,לתת,23,15,15,0.55,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90,0,15,לתת,5,4,0,0.55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,4,10,יד שרה,7,6,6,0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,1,13,נובה,5,5,5,0.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
150,1,10,נובה,18,7,7,0.85,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
